county,state,ev_market_penetration
Williams,OH,0.02
Portage,OH,0.02
Medina,OH,0.02
Miami,OH,0.02
Athens,OH,0.02
Madison,OH,0.02
Lorain,OH,0.02
Holmes,OH,0.02
Lake,OH,0.02
Ottawa,OH,0.02
Preble,OH,0.02
Erie,OH,0.02
Carroll,OH,0.02
Stark,OH,0.02
Morrow,OH,0.02
Auglaize,OH,0.02
Allen,OH,0.02
Ross,OH,0.02
Knox,OH,0.02
Clark,OH,0.02
Pickaway,OH,0.02
Mercer,OH,0.02
Hocking,OH,0.02
Paulding,OH,0.02
Mahoning,OH,0.02
Richland,OH,0.02
Wayne,OH,0.02
Hancock,OH,0.02
Huron,OH,0.02
Clinton,OH,0.02
Ashland,OH,0.01
Wyandot,OH,0.01
Fulton,OH,0.01
Defiance,OH,0.01
Van Wert,OH,0.01
Brown,OH,0.01
Adams,OH,0.01
Washington,OH,0.01
Shelby,OH,0.01
Seneca,OH,0.01
Pike,OH,0.01
Logan,OH,0.01
Sandusky,OH,0.01
Morgan,OH,0.01
Ashtabula,OH,0.01
Columbiana,OH,0.01
Marion,OH,0.01
Trumbull,OH,0.01
Champaign,OH,0.01
Highland,OH,0.01
Darke,OH,0.01
Muskingum,OH,0.01
Crawford,OH,0.01
Meigs,OH,0.01
Scioto,OH,0.01
Fayette,OH,0.01
Lawrence,OH,0.01
Tuscarawas,OH,0.01
Belmont,OH,0.01
Putnam,OH,0.01
Jefferson,OH,0.01
Vinton,OH,0.01
Guernsey,OH,0.01
Harrison,OH,0.01
Jackson,OH,0.01
Hardin,OH,0.01
Henry,OH,0.01
Noble,OH,0.01
Perry,OH,0.01
Gallia,OH,0.01
Coshocton,OH,0
Monroe,OH,0
Oklahoma,OK,0.04
Tulsa,OK,0.04
Cleveland,OK,0.04
Dewey,OK,0.03
Rogers,OK,0.03
McClain,OK,0.02
Cimarron,OK,0.02
Logan,OK,0.02
Cherokee,OK,0.02
Canadian,OK,0.02
Wagoner,OK,0.02
Payne,OK,0.02
Osage,OK,0.02
Pottawatomie,OK,0.02
Muskogee,OK,0.02
Creek,OK,0.02
Washington,OK,0.02
Pontotoc,OK,0.02
Delaware,OK,0.02
Comanche,OK,0.01
Jackson,OK,0.01
Okmulgee,OK,0.01
Atoka,OK,0.01
Kay,OK,0.01
Love,OK,0.01
Garfield,OK,0.01
Tillman,OK,0.01
Kiowa,OK,0.01
Carter,OK,0.01
Seminole,OK,0.01
Pittsburg,OK,0.01
Marshall,OK,0.01
Sequoyah,OK,0.01
Le Flore,OK,0.01
Bryan,OK,0.01
Stephens,OK,0.01
Lincoln,OK,0.01
Beckham,OK,0.01
Woods,OK,0.01
Craig,OK,0.01
Ottawa,OK,0.01
Grady,OK,0.01
McIntosh,OK,0.01
Blaine,OK,0.01
Hughes,OK,0.01
Grant,OK,0.01
Cotton,OK,0.01
Woodward,OK,0.01
Pawnee,OK,0.01
Johnston,OK,0.01
Kingfisher,OK,0.01
Coal,OK,0.01
Nowata,OK,0.01
McCurtain,OK,0.01
Greer,OK,0.01
Okfuskee,OK,0.01
Beaver,OK,0.01
Alfalfa,OK,0.01
Caddo,OK,0
Murray,OK,0
Choctaw,OK,0
Major,OK,0
Garvin,OK,0
Custer,OK,0
Washita,OK,0
Texas,OK,0
Mayes,OK,0
Harmon,OK,0
Jefferson,OK,0
Ellis,OK,0
Adair,OK,0
Noble,OK,0
Pushmataha,OK,0
Haskell,OK,0
Roger Mills,OK,0
Harper,OK,0
Latimer,OK,0
Multnomah,OR,0.18
Washington,OR,0.17
Benton,OR,0.15
Clackamas,OR,0.15
Hood River,OR,0.15
Lane,OR,0.12
Deschutes,OR,0.12
Lincoln,OR,0.1
Yamhill,OR,0.1
Polk,OR,0.09
Jackson,OR,0.09
Tillamook,OR,0.09
Curry,OR,0.08
Marion,OR,0.08
Columbia,OR,0.08
Clatsop,OR,0.07
Josephine,OR,0.07
Linn,OR,0.06
Wasco,OR,0.06
Crook,OR,0.05
Coos,OR,0.05
Wallowa,OR,0.05
Douglas,OR,0.05
Klamath,OR,0.04
Jefferson,OR,0.04
Union,OR,0.04
Gilliam,OR,0.04
Harney,OR,0.03
Baker,OR,0.03
Umatilla,OR,0.03
Malheur,OR,0.03
Lake,OR,0.02
Grant,OR,0.02
Morrow,OR,0.02
Sherman,OR,0
Wheeler,OR,0
Chester,PA,0.08
Montgomery,PA,0.08
Bucks,PA,0.06
Delaware,PA,0.06
Centre,PA,0.06
Montour,PA,0.05
Cumberland,PA,0.05
Lehigh,PA,0.05
Allegheny,PA,0.05
Lancaster,PA,0.04
Philadelphia,PA,0.04
Union,PA,0.04
Northampton,PA,0.04
Dauphin,PA,0.04
York,PA,0.04
Butler,PA,0.04
Berks,PA,0.03
Pike,PA,0.03
Monroe,PA,0.03
Adams,PA,0.03
Lebanon,PA,0.03
Snyder,PA,0.03
Franklin,PA,0.03
Washington,PA,0.03
Perry,PA,0.03
Erie,PA,0.02
Wayne,PA,0.02
Westmoreland,PA,0.02
Lackawanna,PA,0.02
Columbia,PA,0.02
Carbon,PA,0.02
Lycoming,PA,0.02
Luzerne,PA,0.02
Clinton,PA,0.02
Beaver,PA,0.02
Blair,PA,0.02
Fayette,PA,0.02
Juniata,PA,0.02
Fulton,PA,0.02
Mercer,PA,0.02
Huntingdon,PA,0.01
Indiana,PA,0.01
Schuylkill,PA,0.01
Bedford,PA,0.01
Susquehanna,PA,0.01
Mifflin,PA,0.01
Tioga,PA,0.01
Northumberland,PA,0.01
Lawrence,PA,0.01
Crawford,PA,0.01
Cambria,PA,0.01
Bradford,PA,0.01
Warren,PA,0.01
Somerset,PA,0.01
Venango,PA,0.01
Armstrong,PA,0.01
Clearfield,PA,0.01
Potter,PA,0.01
Wyoming,PA,0.01
Sullivan,PA,0.01
Clarion,PA,0.01
Greene,PA,0.01
Jefferson,PA,0.01
McKean,PA,0.01
Elk,PA,0.01
Cameron,PA,0
Forest,PA,0
Bristol,RI,0.08
Newport,RI,0.08
Washington,RI,0.07
Providence,RI,0.05
Kent,RI,0.04
Charleston,SC,0.05
Lancaster,SC,0.05
York,SC,0.04
Beaufort,SC,0.04
Greenville,SC,0.04
Oconee,SC,0.03
Richland,SC,0.03
Berkeley,SC,0.03
Lexington,SC,0.03
Dorchester,SC,0.02
Georgetown,SC,0.02
Jasper,SC,0.02
McCormick,SC,0.02
Spartanburg,SC,0.02
Allendale,SC,0.02
Anderson,SC,0.02
Pickens,SC,0.02
Horry,SC,0.02
Newberry,SC,0.02
Greenwood,SC,0.02
Aiken,SC,0.02
Colleton,SC,0.02
Sumter,SC,0.02
Edgefield,SC,0.02
Fairfield,SC,0.02
Chester,SC,0.01
Orangeburg,SC,0.01
Florence,SC,0.01
Saluda,SC,0.01
Cherokee,SC,0.01
Kershaw,SC,0.01
Laurens,SC,0.01
Abbeville,SC,0.01
Marlboro,SC,0.01
Darlington,SC,0.01
Clarendon,SC,0.01
Calhoun,SC,0.01
Union,SC,0.01
Chesterfield,SC,0.01
Marion,SC,0.01
Hampton,SC,0.01
Williamsburg,SC,0.01
Dillon,SC,0.01
Lee,SC,0
Barnwell,SC,0
Bamberg,SC,0
Oglala Lakota,SD,0.04
Bennett,SD,0.04
Hyde,SD,0.03
Clay,SD,0.03
Union,SD,0.03
Sanborn,SD,0.03
Lawrence,SD,0.02
Lincoln,SD,0.02
Pennington,SD,0.02
Custer,SD,0.02
McCook,SD,0.02
Minnehaha,SD,0.02
Brookings,SD,0.02
Lake,SD,0.02
Meade,SD,0.02
Clark,SD,0.02
Hand,SD,0.02
Davison,SD,0.02
Fall River,SD,0.01
Tripp,SD,0.01
Stanley,SD,0.01
Kingsbury,SD,0.01
Deuel,SD,0.01
Hanson,SD,0.01
Faulk,SD,0.01
Bon Homme,SD,0.01
Butte,SD,0.01
Douglas,SD,0.01
Day,SD,0.01
Roberts,SD,0.01
Hughes,SD,0.01
Hamlin,SD,0.01
Hutchinson,SD,0.01
Codington,SD,0.01
Brown,SD,0.01
Lyman,SD,0.01
Dewey,SD,0.01
Spink,SD,0.01
Gregory,SD,0.01
Turner,SD,0.01
Beadle,SD,0.01
Edmunds,SD,0.01
Marshall,SD,0.01
Walworth,SD,0.01
Yankton,SD,0.01
Charles Mix,SD,0
Grant,SD,0
Jerauld,SD,0
Mellette,SD,0
Jackson,SD,0
Jones,SD,0
Haakon,SD,0
Aurora,SD,0
Todd,SD,0
Brule,SD,0
Harding,SD,0
McPherson,SD,0
Miner,SD,0
Potter,SD,0
Corson,SD,0
Buffalo,SD,0
Sully,SD,0
Moody,SD,0
Ziebach,SD,0
Campbell,SD,0
Perkins,SD,0
Williamson,TN,0.08
Davidson,TN,0.06
Knox,TN,0.05
Loudon,TN,0.04
Hamilton,TN,0.04
Shelby,TN,0.04
Blount,TN,0.03
Wilson,TN,0.03
Fayette,TN,0.03
Washington,TN,0.03
Anderson,TN,0.03
Sevier,TN,0.03
Sumner,TN,0.03
Roane,TN,0.03
Hancock,TN,0.03
Franklin,TN,0.03
Pickett,TN,0.03
Sullivan,TN,0.02
Maury,TN,0.02
Cheatham,TN,0.02
Marion,TN,0.02
Rutherford,TN,0.02
Bedford,TN,0.02
Montgomery,TN,0.02
Robertson,TN,0.02
Lewis,TN,0.02
Madison,TN,0.02
Henderson,TN,0.02
Coffee,TN,0.02
Union,TN,0.02
Putnam,TN,0.02
Hamblen,TN,0.02
Monroe,TN,0.02
Moore,TN,0.02
Gibson,TN,0.02
Warren,TN,0.02
Bradley,TN,0.02
Jefferson,TN,0.02
Cumberland,TN,0.01
Rhea,TN,0.01
Hickman,TN,0.01
Carter,TN,0.01
Smith,TN,0.01
Dickson,TN,0.01
Lincoln,TN,0.01
Hawkins,TN,0.01
Stewart,TN,0.01
Greene,TN,0.01
Scott,TN,0.01
Campbell,TN,0.01
Sequatchie,TN,0.01
Carroll,TN,0.01
White,TN,0.01
Hardeman,TN,0.01
Grainger,TN,0.01
Jackson,TN,0.01
Marshall,TN,0.01
Cocke,TN,0.01
Humphreys,TN,0.01
Overton,TN,0.01
Crockett,TN,0.01
Giles,TN,0.01
Hardin,TN,0.01
Tipton,TN,0.01
Fentress,TN,0.01
Benton,TN,0.01
Bledsoe,TN,0.01
Henry,TN,0.01
Houston,TN,0.01
DeKalb,TN,0.01
McMinn,TN,0.01
Decatur,TN,0.01
McNairy,TN,0.01
Trousdale,TN,0.01
Cannon,TN,0.01
Lawrence,TN,0.01
Dyer,TN,0.01
Grundy,TN,0.01
Claiborne,TN,0.01
Morgan,TN,0.01
Weakley,TN,0.01
Johnson,TN,0.01
Clay,TN,0.01
Van Buren,TN,0.01
Unicoi,TN,0.01
Meigs,TN,0.01
Polk,TN,0
Macon,TN,0
Chester,TN,0
Haywood,TN,0
Lauderdale,TN,0
Obion,TN,0
Perry,TN,0
Wayne,TN,0
Lake,TN,0
Travis,TX,0.11
Collin,TX,0.09
Williamson,TX,0.08
Denton,TX,0.08
Fort Bend,TX,0.07
King,TX,0.06
Dallas,TX,0.06
Hays,TX,0.06
Kendall,TX,0.05
Harris,TX,0.04
Tarrant,TX,0.04
Rockwall,TX,0.04
Comal,TX,0.04
Bexar,TX,0.04
Montgomery,TX,0.04
Brazoria,TX,0.04
Waller,TX,0.03
Blanco,TX,0.03
Parker,TX,0.03
Bastrop,TX,0.03
Galveston,TX,0.03
Ellis,TX,0.03
El Paso,TX,0.03
Burnet,TX,0.03
Culberson,TX,0.03
Brazos,TX,0.02
Kinney,TX,0.02
Delta,TX,0.02
Gillespie,TX,0.02
Kaufman,TX,0.02
Hood,TX,0.02
Guadalupe,TX,0.02
Jeff Davis,TX,0.02
Llano,TX,0.02
Johnson,TX,0.02
Bell,TX,0.02
Real,TX,0.02
San Jacinto,TX,0.02
Cooke,TX,0.02
Smith,TX,0.02
Grayson,TX,0.02
Oldham,TX,0.02
Hunt,TX,0.02
Cameron,TX,0.02
McLennan,TX,0.02
Brewster,TX,0.02
Hamilton,TX,0.02
Hidalgo,TX,0.02
Medina,TX,0.02
Marion,TX,0.02
Wichita,TX,0.02
Lubbock,TX,0.02
Polk,TX,0.02
Wise,TX,0.02
Randall,TX,0.02
Nacogdoches,TX,0.02
Mills,TX,0.02
Franklin,TX,0.02
Bandera,TX,0.02
Van Zandt,TX,0.01
Austin,TX,0.01
Chambers,TX,0.01
Hopkins,TX,0.01
Taylor,TX,0.01
Jefferson,TX,0.01
Washington,TX,0.01
Nueces,TX,0.01
Wilson,TX,0.01
Terry,TX,0.01
Kerr,TX,0.01
Harrison,TX,0.01
Edwards,TX,0.01
Coryell,TX,0.01
Fannin,TX,0.01
Young,TX,0.01
Rains,TX,0.01
Titus,TX,0.01
Hudspeth,TX,0.01
Fayette,TX,0.01
Hill,TX,0.01
Bosque,TX,0.01
Gregg,TX,0.01
Hartley,TX,0.01
Bowie,TX,0.01
Potter,TX,0.01
Burleson,TX,0.01
Caldwell,TX,0.01
Lampasas,TX,0.01
Henderson,TX,0.01
Colorado,TX,0.01
Somervell,TX,0.01
Mason,TX,0.01
Victoria,TX,0.01
Cherokee,TX,0.01
Webb,TX,0.01
Lynn,TX,0.01
Andrews,TX,0.01
Runnels,TX,0.01
San Saba,TX,0.01
Willacy,TX,0.01
Lamar,TX,0.01
Dallam,TX,0.01
Walker,TX,0.01
Donley,TX,0.01
Hardeman,TX,0.01
Grimes,TX,0.01
Gonzales,TX,0.01
Midland,TX,0.01
Upshur,TX,0.01
Wood,TX,0.01
Crockett,TX,0.01
Floyd,TX,0.01
Uvalde,TX,0.01
Hardin,TX,0.01
Orange,TX,0.01
Presidio,TX,0.01
Castro,TX,0.01
Reeves,TX,0.01
Ward,TX,0.01
Glasscock,TX,0.01
Sherman,TX,0.01
Houston,TX,0.01
Clay,TX,0.01
Aransas,TX,0.01
Crosby,TX,0.01
Tom Green,TX,0.01
San Patricio,TX,0.01
Milam,TX,0.01
Archer,TX,0.01
Jackson,TX,0.01
Collingsworth,TX,0.01
Erath,TX,0.01
Cass,TX,0.01
Frio,TX,0.01
Trinity,TX,0.01
San Augustine,TX,0.01
Howard,TX,0.01
Dawson,TX,0.01
Newton,TX,0.01
Ochiltree,TX,0.01
Lee,TX,0.01
Rusk,TX,0.01
Atascosa,TX,0.01
Kimble,TX,0.01
Haskell,TX,0.01
Callahan,TX,0.01
Val Verde,TX,0.01
Navarro,TX,0.01
Liberty,TX,0.01
Leon,TX,0.01
Anderson,TX,0.01
Jack,TX,0.01
Hockley,TX,0.01
Gaines,TX,0.01
Morris,TX,0.01
Angelina,TX,0.01
Winkler,TX,0.01
Swisher,TX,0.01
Montague,TX,0.01
Ector,TX,0.01
Lavaca,TX,0.01
Childress,TX,0.01
Maverick,TX,0.01
Matagorda,TX,0.01
Yoakum,TX,0.01
Fisher,TX,0.01
Shelby,TX,0.01
Falls,TX,0.01
Madison,TX,0
Calhoun,TX,0
Moore,TX,0
Freestone,TX,0
Lamb,TX,0
Panola,TX,0
Kleberg,TX,0
Scurry,TX,0
Wharton,TX,0
Karnes,TX,0
Deaf Smith,TX,0
Wheeler,TX,0
Knox,TX,0
DeWitt,TX,0
Palo Pinto,TX,0
Red River,TX,0
Sutton,TX,0
Jim Wells,TX,0
Comanche,TX,0
Martin,TX,0
Jones,TX,0
Camp,TX,0
Carson,TX,0
Bee,TX,0
Sabine,TX,0
Starr,TX,0
Duval,TX,0
Zavala,TX,0
Nolan,TX,0
Parmer,TX,0
Gray,TX,0
Hale,TX,0
Brown,TX,0
McCulloch,TX,0
Tyler,TX,0
Goliad,TX,0
Coleman,TX,0
Robertson,TX,0
Refugio,TX,0
Stephens,TX,0
Limestone,TX,0
Wilbarger,TX,0
Jasper,TX,0
Zapata,TX,0
Live Oak,TX,0
Hutchinson,TX,0
Pecos,TX,0
Eastland,TX,0
Armstrong,TX,0
Crane,TX,0
Kenedy,TX,0
Kent,TX,0
Loving,TX,0
McMullen,TX,0
Reagan,TX,0
Cochran,TX,0
La Salle,TX,0
Briscoe,TX,0
Schleicher,TX,0
Bailey,TX,0
Shackelford,TX,0
Sterling,TX,0
Dimmit,TX,0
Foard,TX,0
Hall,TX,0
Jim Hogg,TX,0
Dickens,TX,0
Coke,TX,0
Irion,TX,0
Concho,TX,0
Brooks,TX,0
Menard,TX,0
Throckmorton,TX,0
Upton,TX,0
Stonewall,TX,0
Roberts,TX,0
Baylor,TX,0
Borden,TX,0
Hansford,TX,0
Hemphill,TX,0
Lipscomb,TX,0
Cottle,TX,0
Mitchell,TX,0
Terrell,TX,0
Garza,TX,0
Motley,TX,0
Summit,UT,0.17
Salt Lake,UT,0.1
Utah,UT,0.1
Morgan,UT,0.1
Wasatch,UT,0.09
Davis,UT,0.09
Washington,UT,0.08
Cache,UT,0.06
Weber,UT,0.06
Grand,UT,0.06
Tooele,UT,0.05
Garfield,UT,0.05
Kane,UT,0.04
Iron,UT,0.04
Juab,UT,0.04
Carbon,UT,0.03
Box Elder,UT,0.03
Sanpete,UT,0.03
San Juan,UT,0.02
Daggett,UT,0.02
Sevier,UT,0.02
Uintah,UT,0.02
Millard,UT,0.02
Duchesne,UT,0.02
Rich,UT,0.01
Emery,UT,0.01
Beaver,UT,0.01
Wayne,UT,0
Piute,UT,0
Falls Church,VA,0.17
Charlottesville,VA,0.16
Loudoun,VA,0.15
Arlington,VA,0.14
Fairfax,VA,0.13
Albemarle,VA,0.12
Fairfax,VA,0.12
Alexandria,VA,0.09
Williamsburg,VA,0.08
Richmond,VA,0.08
Henrico,VA,0.08
Rappahannock,VA,0.08
James City,VA,0.07
Goochland,VA,0.07
Prince William,VA,0.07
Manassas Park,VA,0.07
Fauquier,VA,0.07
Stafford,VA,0.06
Fredericksburg,VA,0.06
Montgomery,VA,0.06
Clarke,VA,0.06
York,VA,0.05
Chesterfield,VA,0.05
Lancaster,VA,0.05
King George,VA,0.05
Fluvanna,VA,0.05
Hanover,VA,0.05
Winchester,VA,0.05
Spotsylvania,VA,0.05
Louisa,VA,0.05
Nelson,VA,0.05
Northumberland,VA,0.04
Frederick,VA,0.04
Virginia Beach,VA,0.04
Rockbridge,VA,0.04
Lynchburg,VA,0.04
Chesapeake,VA,0.04
Norfolk,VA,0.04
Poquoson,VA,0.04
Madison,VA,0.04
Powhatan,VA,0.04
Isle of Wight,VA,0.04
Manassas,VA,0.04
Warren,VA,0.04
Highland,VA,0.04
Roanoke,VA,0.04
Sussex,VA,0.03
Culpeper,VA,0.03
Staunton,VA,0.03
Suffolk,VA,0.03
Salem,VA,0.03
Greene,VA,0.03
Augusta,VA,0.03
Rockingham,VA,0.03
New Kent,VA,0.03
Middlesex,VA,0.03
Harrisonburg,VA,0.03
Lexington,VA,0.03
Charles City,VA,0.03
Orange,VA,0.03
Northampton,VA,0.03
Newport News,VA,0.03
Gloucester,VA,0.03
Floyd,VA,0.03
Hampton,VA,0.03
Franklin,VA,0.03
Essex,VA,0.03
Washington,VA,0.03
Martinsville,VA,0.03
Bedford,VA,0.03
Botetourt,VA,0.02
Pulaski,VA,0.02
Roanoke,VA,0.02
Waynesboro,VA,0.02
Caroline,VA,0.02
Shenandoah,VA,0.02
Radford,VA,0.02
Amherst,VA,0.02
Galax,VA,0.02
Portsmouth,VA,0.02
Prince Edward,VA,0.02
Dinwiddie,VA,0.02
Buckingham,VA,0.02
Hopewell,VA,0.02
Mathews,VA,0.02
Brunswick,VA,0.02
Southampton,VA,0.02
Campbell,VA,0.02
Surry,VA,0.02
Page,VA,0.02
Bristol,VA,0.02
Colonial Heights,VA,0.02
Richmond,VA,0.02
Petersburg,VA,0.02
Henry,VA,0.02
Halifax,VA,0.02
Accomack,VA,0.02
Prince George,VA,0.01
Smyth,VA,0.01
Bath,VA,0.01
Emporia,VA,0.01
Giles,VA,0.01
Carroll,VA,0.01
Westmoreland,VA,0.01
Wythe,VA,0.01
Greensville,VA,0.01
Nottoway,VA,0.01
Danville,VA,0.01
King William,VA,0.01
Pittsylvania,VA,0.01
Lunenburg,VA,0.01
Norton,VA,0.01
Charlotte,VA,0.01
Amelia,VA,0.01
Lee,VA,0.01
Scott,VA,0.01
Grayson,VA,0.01
Wise,VA,0.01
Mecklenburg,VA,0.01
Patrick,VA,0.01
Dickenson,VA,0.01
Alleghany,VA,0.01
Covington,VA,0.01
Franklin,VA,0.01
King and Queen,VA,0.01
Tazewell,VA,0.01
Russell,VA,0.01
Bland,VA,0
Buchanan,VA,0
Appomattox,VA,0
Cumberland,VA,0
Craig,VA,0
Buena Vista,VA,0
Chittenden,VT,0.1
Addison,VT,0.1
Washington,VT,0.08
Windsor,VT,0.07
Grand Isle,VT,0.07
Windham,VT,0.07
Bennington,VT,0.06
Orange,VT,0.06
Lamoille,VT,0.05
Rutland,VT,0.05
Caledonia,VT,0.04
Orleans,VT,0.04
Franklin,VT,0.04
Essex,VT,0.01
San Juan,WA,0.22
King,WA,0.21
Jefferson,WA,0.16
Snohomish,WA,0.14
Clark,WA,0.11
Kitsap,WA,0.11
Whatcom,WA,0.1
Island,WA,0.1
Skamania,WA,0.09
Skagit,WA,0.09
Thurston,WA,0.09
Pierce,WA,0.08
Chelan,WA,0.08
Clallam,WA,0.08
Klickitat,WA,0.08
Mason,WA,0.07
Kittitas,WA,0.07
Spokane,WA,0.06
Benton,WA,0.06
Okanogan,WA,0.06
Wahkiakum,WA,0.06
Douglas,WA,0.05
Pacific,WA,0.05
Walla Walla,WA,0.05
Whitman,WA,0.05
Cowlitz,WA,0.05
Ferry,WA,0.05
Franklin,WA,0.04
Grays Harbor,WA,0.04
Lewis,WA,0.04
Grant,WA,0.04
Yakima,WA,0.03
Stevens,WA,0.03
Asotin,WA,0.02
Lincoln,WA,0.02
Columbia,WA,0.02
Adams,WA,0.02
Garfield,WA,0.02
Pend Oreille,WA,0.01
Dane,WI,0.07
Ozaukee,WI,0.06
Waukesha,WI,0.04
Door,WI,0.04
St. Croix,WI,0.04
Iowa,WI,0.04
Eau Claire,WI,0.04
Walworth,WI,0.04
Milwaukee,WI,0.03
Brown,WI,0.03
Kenosha,WI,0.03
La Crosse,WI,0.03
Polk,WI,0.03
Vernon,WI,0.03
Winnebago,WI,0.03
Jefferson,WI,0.03
Racine,WI,0.03
Sauk,WI,0.03
Portage,WI,0.03
Dunn,WI,0.03
Green,WI,0.03
Calumet,WI,0.03
Pierce,WI,0.03
Outagamie,WI,0.02
Washington,WI,0.02
Marathon,WI,0.02
Sheboygan,WI,0.02
Waupaca,WI,0.02
Columbia,WI,0.02
Dodge,WI,0.02
Juneau,WI,0.02
Rock,WI,0.02
Fond du Lac,WI,0.02
Sawyer,WI,0.02
Grant,WI,0.02
Manitowoc,WI,0.02
Washburn,WI,0.02
Waushara,WI,0.02
Wood,WI,0.02
Chippewa,WI,0.02
Rusk,WI,0.02
Menominee,WI,0.02
Buffalo,WI,0.02
Bayfield,WI,0.02
Burnett,WI,0.01
Langlade,WI,0.01
Richland,WI,0.01
Green Lake,WI,0.01
Vilas,WI,0.01
Crawford,WI,0.01
Marquette,WI,0.01
Trempealeau,WI,0.01
Pepin,WI,0.01
Douglas,WI,0.01
Marinette,WI,0.01
Oneida,WI,0.01
Iron,WI,0.01
Barron,WI,0.01
Kewaunee,WI,0.01
Oconto,WI,0.01
Ashland,WI,0.01
Monroe,WI,0.01
Price,WI,0.01
Adams,WI,0.01
Lincoln,WI,0.01
Forest,WI,0.01
Taylor,WI,0.01
Jackson,WI,0.01
Florence,WI,0.01
Lafayette,WI,0.01
Clark,WI,0
Shawano,WI,0
Jefferson,WV,0.05
Monongalia,WV,0.02
Berkeley,WV,0.02
Putnam,WV,0.02
Gilmer,WV,0.02
Cabell,WV,0.02
Ohio,WV,0.02
Kanawha,WV,0.01
Wood,WV,0.01
Monroe,WV,0.01
Mineral,WV,0.01
Morgan,WV,0.01
Greenbrier,WV,0.01
Ritchie,WV,0.01
Pocahontas,WV,0.01
Marion,WV,0.01
Preston,WV,0.01
Mason,WV,0.01
Raleigh,WV,0.01
Mercer,WV,0.01
Upshur,WV,0.01
Hardy,WV,0.01
Braxton,WV,0.01
Pendleton,WV,0.01
Tucker,WV,0.01
Grant,WV,0.01
Harrison,WV,0.01
Marshall,WV,0.01
Jackson,WV,0.01
Lewis,WV,0.01
Hancock,WV,0.01
Brooke,WV,0.01
Calhoun,WV,0.01
Hampshire,WV,0.01
Fayette,WV,0.01
Randolph,WV,0
Pleasants,WV,0
Roane,WV,0
Boone,WV,0
Mingo,WV,0
Taylor,WV,0
Wetzel,WV,0
Barbour,WV,0
Wayne,WV,0
Tyler,WV,0
Logan,WV,0
Wyoming,WV,0
Nicholas,WV,0
Summers,WV,0
Lincoln,WV,0
McDowell,WV,0
Doddridge,WV,0
Clay,WV,0
Webster,WV,0
Wirt,WV,0
Teton,WY,0.08
Laramie,WY,0.02
Albany,WY,0.02
Sweetwater,WY,0.02
Lincoln,WY,0.02
Sheridan,WY,0.02
Platte,WY,0.02
Crook,WY,0.01
Natrona,WY,0.01
Fremont,WY,0.01
Weston,WY,0.01
Uinta,WY,0.01
Campbell,WY,0.01
Big Horn,WY,0.01
Park,WY,0.01
Goshen,WY,0.01
Sublette,WY,0.01
Carbon,WY,0.01
Washakie,WY,0.01
Johnson,WY,0
Converse,WY,0
Hot Springs,WY,0
Niobrara,WY,0
